Shipment_ID,Order_ID,Ship_Date,Delivery_Date,Shipment_Status
59,59,2024-06-23,2024-06-28,Delivered
60,60,2025-03-29,2025-04-03,Delivered
61,61,2024-08-30,2024-09-05,Delivered
62,62,2024-03-30,2024-04-03,Delivered
63,63,,,Cancelled
64,64,2024-10-23,2024-10-25,Delivered
65,65,2024-04-26,2024-04-30,Delivered
66,66,2024-12-08,2024-12-14,Delivered
67,67,2024-07-30,2024-08-03,Delivered
68,68,2025-07-17,2025-07-22,Delivered
69,69,2025-12-14,2025-12-20,Delivered
70,70,2025-08-21,2025-08-24,Delivered
71,71,2024-06-24,2024-06-27,Delivered
72,72,2025-12-16,2025-12-21,Delivered
73,73,2025-11-03,2025-11-06,Delivered
74,74,,,Cancelled
75,75,2025-01-04,2025-01-07,Delivered
76,76,2025-10-29,2025-11-04,Delivered
77,77,2025-06-07,2025-06-11,Delivered
78,78,2025-05-13,2025-05-16,Delivered
79,79,2024-07-23,2024-07-29,Returned
80,80,2026-01-02,2026-01-05,Delivered
81,81,2025-06-27,2025-07-02,Delivered
82,82,2024-06-10,2024-06-15,Delivered
83,83,2025-01-01,2025-01-06,Delivered
84,84,2024-10-12,2024-10-17,Delivered
85,85,2025-02-02,2025-02-05,Returned
86,86,2024-10-15,2024-10-20,Delivered
87,87,2025-02-08,2025-02-10,Delivered
88,88,2025-01-27,2025-02-01,Returned
89,89,2025-10-03,2025-10-08,Delivered
90,90,2025-08-12,2025-08-15,Delivered
91,91,2025-09-13,2025-09-17,Delivered
92,92,2024-08-01,2024-08-06,Delivered
93,93,,,Cancelled
94,94,,,Cancelled
95,95,2024-05-21,2024-05-26,Returned
96,96,2024-05-29,2024-06-04,Returned
97,97,2024-06-12,2024-06-14,Delivered
98,98,2024-05-02,2024-05-05,Delivered
99,99,2024-05-31,2024-06-04,Delivered
100,100,2025-02-28,2025-03-04,Delivered
101,101,2025-10-16,2025-10-21,Delivered
102,102,2024-07-14,2024-07-19,Delivered
103,103,2025-09-19,2025-09-22,Delivered
104,104,2025-09-20,2025-09-25,Delivered
105,105,2025-12-07,2025-12-11,Delivered
106,106,2025-05-05,2025-05-08,Delivered
107,107,2025-04-26,2025-04-30,Delivered
108,108,2025-02-01,2025-02-05,Delivered
109,109,2024-07-19,2024-07-24,Delivered
110,110,2024-01-17,2024-01-21,Returned
111,111,2025-11-19,2025-11-26,Delivered
112,112,,,Cancelled
113,113,,,Cancelled
114,114,2024-09-12,2024-09-17,Delivered
115,115,,,Cancelled
116,116,2024-11-19,2024-11-25,Delivered
117,117,2025-08-10,2025-08-14,Delivered
118,118,2025-12-24,2025-12-30,Delivered
119,119,,,Cancelled
120,120,2025-06-16,2025-06-20,Delivered
121,121,2024-02-12,2024-02-16,Delivered
122,122,2025-10-08,2025-10-10,Delivered
123,123,2025-02-12,2025-02-16,Delivered
124,124,2025-04-20,2025-04-23,Delivered
125,125,2024-02-26,2024-03-01,Delivered
126,126,2025-04-21,2025-04-25,Delivered
127,127,2025-05-29,2025-06-05,Delivered
128,128,2025-12-16,2025-12-18,Delivered
129,129,2024-11-29,2024-12-01,Delivered
130,130,,,Cancelled
131,131,2025-04-11,2025-04-16,Delivered
132,132,2025-10-28,2025-11-02,Delivered
133,133,2024-05-07,2024-05-12,Delivered
134,134,2025-10-14,2025-10-17,Delivered
135,135,2025-01-29,2025-02-04,Delivered
136,136,2025-09-21,2025-09-25,Delivered
137,137,,,Cancelled
138,138,2025-11-07,2025-11-09,Delivered
139,139,2024-07-04,2024-07-09,Delivered
140,140,2024-11-13,2024-11-16,Delivered
141,141,2024-10-23,2024-10-26,Delivered
142,142,2024-05-16,2024-05-23,Delivered
143,143,2024-09-17,2024-09-21,Delivered
144,144,2025-05-27,2025-05-29,Delivered
145,145,2025-05-22,2025-05-24,Delivered
146,146,2025-05-05,2025-05-08,Delivered
147,147,2025-09-09,2025-09-16,Delivered
148,148,2025-07-17,2025-07-21,Delivered
149,149,2024-08-02,2024-08-05,Delivered
150,150,2025-10-31,2025-11-04,Delivered
151,151,2024-02-04,2024-02-09,Delivered
152,152,2024-11-03,2024-11-06,Returned
153,153,2024-04-22,2024-04-24,Returned
154,154,2025-11-20,2025-11-27,Delivered
155,155,2025-12-18,2025-12-22,Delivered
156,156,2024-07-02,2024-07-07,Delivered
157,157,2024-02-08,2024-02-11,Delivered
158,158,,,Cancelled
159,159,2025-03-15,2025-03-22,Delivered
160,160,2024-05-18,2024-05-21,Delivered
161,161,2024-12-04,2024-12-06,Delivered
162,162,2025-12-14,2025-12-18,Delivered
163,163,2025-08-11,2025-08-15,Returned
164,164,2024-03-31,2024-04-05,Delivered
165,165,2025-12-27,2026-01-02,Delivered
166,166,2024-11-23,2024-11-27,Delivered
167,167,2024-12-29,2025-01-02,Delivered
168,168,2025-06-18,2025-06-21,Delivered
169,169,2024-07-05,2024-07-09,Delivered
170,170,2024-07-18,2024-07-20,Delivered
171,171,2025-10-05,2025-10-07,Delivered
172,172,2025-09-23,2025-09-28,Delivered
173,173,2024-12-27,2025-01-03,Delivered
174,174,2024-01-15,2024-01-20,Delivered
175,175,2024-09-18,2024-09-20,Delivered
176,176,2025-07-19,2025-07-24,Delivered
177,177,2025-12-04,2025-12-10,Delivered
178,178,2025-08-08,2025-08-12,Returned
179,179,2024-06-30,2024-07-02,Delivered
180,180,,,Cancelled
181,181,2024-02-08,2024-02-12,Delivered
182,182,,,Cancelled
183,183,2024-12-12,2024-12-15,Delivered
184,184,2024-02-28,2024-03-04,Delivered
185,185,2025-11-27,2025-12-01,Delivered
186,186,2024-08-02,2024-08-06,Delivered
187,187,2024-12-31,2025-01-03,Returned
188,188,2024-02-02,2024-02-09,Returned
189,189,2025-07-04,2025-07-07,Delivered
190,190,2024-07-12,2024-07-16,Delivered
191,191,,,Cancelled
192,192,2024-02-04,2024-02-09,Delivered
193,193,2024-09-03,2024-09-08,Delivered
194,194,2024-11-08,2024-11-13,Delivered
195,195,2024-04-27,2024-04-30,Delivered
196,196,2024-07-27,2024-07-31,Delivered
197,197,2025-05-11,2025-05-15,Delivered
198,198,,,Cancelled
199,199,2024-12-04,2024-12-07,Delivered
200,200,2025-06-15,2025-06-18,Returned
201,201,2024-02-08,2024-02-11,Delivered
202,202,2025-06-21,2025-06-25,Delivered
203,203,,,Cancelled
204,204,2024-04-02,2024-04-06,Delivered
205,205,2024-04-16,2024-04-25,Delivered
206,206,2024-11-17,2024-11-19,Delivered
207,207,2025-10-17,2025-10-24,Delivered
208,208,2024-10-23,2024-10-28,Delivered
209,209,2025-03-29,2025-04-01,Delivered
210,210,2024-06-11,2024-06-15,Delivered
211,211,2025-10-01,2025-10-05,Delivered
212,212,2025-07-10,2025-07-17,Delivered
213,213,2024-05-26,2024-06-02,Delivered
214,214,2024-09-08,2024-09-11,Delivered
215,215,2024-12-13,2024-12-16,Delivered
216,216,,,Cancelled
217,217,2024-04-21,2024-04-23,Delivered
218,218,2025-02-06,2025-02-11,Delivered
219,219,,,Cancelled
220,220,2025-04-04,2025-04-07,Delivered
221,221,2024-07-22,2024-07-28,Delivered
222,222,2025-07-03,2025-07-07,Returned
223,223,2025-04-23,2025-04-30,Delivered
224,224,2025-12-19,2025-12-23,Delivered
225,225,2025-12-03,2025-12-10,Delivered
226,226,2025-04-27,2025-05-01,Returned
227,227,,,Cancelled
228,228,,,Cancelled
229,229,2024-11-29,2024-12-04,Delivered
230,230,2025-05-02,2025-05-09,Delivered
231,231,2024-06-25,2024-07-02,Delivered
232,232,2025-08-13,2025-08-18,Delivered
233,233,2024-04-21,2024-04-24,Delivered
234,234,2024-11-07,2024-11-11,Delivered
235,235,2025-03-02,2025-03-09,Delivered
236,236,2024-06-13,2024-06-18,Delivered
237,237,2024-08-03,2024-08-07,Delivered
238,238,2025-03-23,2025-03-27,Delivered
239,239,2025-12-14,2025-12-20,Delivered
240,240,2024-03-21,2024-03-25,Returned
241,241,2025-05-16,2025-05-20,Delivered
242,242,2024-11-30,2024-12-02,Delivered
243,243,2024-06-30,2024-07-05,Returned
244,244,2025-09-05,2025-09-08,Delivered
245,245,2025-01-25,2025-01-30,Delivered
246,246,2024-03-06,2024-03-11,Delivered
247,247,2025-08-20,2025-08-25,Delivered
248,248,2024-05-31,2024-06-06,Delivered
249,249,2024-10-27,2024-10-29,Delivered
250,250,2024-07-22,2024-07-29,Delivered
251,251,2024-11-05,2024-11-11,Delivered
252,252,2024-11-08,2024-11-13,Delivered
253,253,2024-12-20,2024-12-22,Delivered
254,254,,,Cancelled
255,255,2024-10-31,2024-11-03,Delivered
256,256,2024-02-25,2024-03-02,Delivered
257,257,,,Cancelled
258,258,2024-02-03,2024-02-06,Delivered
259,259,2025-02-10,2025-02-14,Delivered
260,260,2025-02-21,2025-03-02,Delivered
261,261,2025-11-11,2025-11-16,Delivered
262,262,,,Cancelled
263,263,2025-03-04,2025-03-08,Delivered
264,264,2025-11-20,2025-11-27,Delivered
265,265,2025-10-28,2025-10-31,Delivered
266,266,2025-05-14,2025-05-20,Delivered
267,267,2024-03-30,2024-04-06,Delivered
268,268,2025-04-12,2025-04-21,Delivered
269,269,2025-10-02,2025-10-07,Delivered
270,270,2025-07-22,2025-07-26,Delivered
271,271,2024-07-11,2024-07-17,Delivered
272,272,2025-05-26,2025-05-31,Delivered
273,273,2024-10-04,2024-10-08,Returned
274,274,2025-01-13,2025-01-20,Returned
275,275,2025-05-12,2025-05-15,Delivered
276,276,2025-05-09,2025-05-12,Delivered
277,277,2025-06-25,2025-07-04,Delivered
278,278,2025-06-21,2025-06-25,Delivered
279,279,2025-10-08,2025-10-15,Delivered
280,280,2024-03-23,2024-03-27,Delivered
281,281,2025-08-17,2025-08-21,Delivered
282,282,2024-12-18,2024-12-21,Delivered
283,283,,,Cancelled
284,284,2024-12-08,2024-12-15,Delivered
285,285,2024-10-29,2024-11-01,Delivered
286,286,2025-09-06,2025-09-15,Delivered
287,287,2025-08-03,2025-08-09,Delivered
288,288,2025-08-18,2025-08-27,Delivered
289,289,2024-10-28,2024-10-30,Delivered
290,290,2025-05-12,2025-05-14,Delivered
291,291,2024-10-13,2024-10-16,Delivered
292,292,2024-10-11,2024-10-14,Delivered
293,293,,,Cancelled
294,294,2024-06-04,2024-06-11,Delivered
295,295,2024-07-01,2024-07-07,Delivered
296,296,2025-05-13,2025-05-18,Delivered
297,297,2024-02-05,2024-02-10,Returned
298,298,2024-05-29,2024-06-03,Returned
299,299,2025-05-23,2025-05-28,Delivered
300,300,2025-11-08,2025-11-17,Delivered
301,301,2024-08-04,2024-08-08,Delivered
302,302,2024-02-26,2024-02-29,Delivered
303,303,2024-04-29,2024-05-02,Delivered
304,304,2025-05-05,2025-05-10,Delivered
305,305,2025-06-30,2025-07-03,Delivered
306,306,2025-02-06,2025-02-11,Delivered
307,307,2025-03-23,2025-03-25,Delivered
308,308,2025-04-07,2025-04-10,Delivered
309,309,2025-06-27,2025-07-02,Returned
310,310,2025-07-01,2025-07-06,Delivered
311,311,,,Cancelled
312,312,2024-10-09,2024-10-13,Delivered
313,313,2024-04-11,2024-04-15,Delivered
314,314,2025-04-20,2025-04-24,Delivered
315,315,2025-11-20,2025-11-24,Delivered
316,316,2024-12-13,2024-12-17,Delivered
317,317,2024-11-18,2024-11-25,Delivered
318,318,2024-03-11,2024-03-14,Delivered
319,319,2024-04-17,2024-04-22,Delivered
320,320,2024-10-20,2024-10-23,Delivered
321,321,2025-09-27,2025-10-02,Delivered
322,322,2025-11-05,2025-11-11,Returned
323,323,2024-05-06,2024-05-10,Returned
324,324,2025-09-13,2025-09-16,Delivered
325,325,2025-10-27,2025-11-02,Delivered
326,326,2024-04-25,2024-04-29,Delivered
327,327,2025-04-25,2025-04-28,Returned
328,328,2025-04-11,2025-04-14,Delivered
329,329,2025-11-15,2025-11-19,Delivered
330,330,2024-03-17,2024-03-21,Delivered
331,331,2025-02-04,2025-02-13,Returned
332,332,2024-10-01,2024-10-06,Delivered
333,333,2024-07-27,2024-08-01,Delivered
334,334,2025-05-19,2025-05-24,Delivered
335,335,2025-03-20,2025-03-24,Delivered
336,336,2025-03-29,2025-04-01,Delivered
337,337,2024-03-18,2024-03-22,Delivered
338,338,,,Cancelled
339,339,2025-10-31,2025-11-03,Delivered
340,340,2025-11-12,2025-11-16,Delivered
341,341,2024-12-04,2024-12-11,Delivered
342,342,2025-12-26,2025-12-31,Delivered
343,343,2024-03-14,2024-03-21,Delivered
344,344,2025-12-09,2025-12-14,Delivered
345,345,2025-01-03,2025-01-09,Delivered
346,346,2024-02-27,2024-03-03,Returned
347,347,2024-04-05,2024-04-09,Delivered
348,348,,,Cancelled
349,349,2024-10-25,2024-10-28,Delivered
350,350,2024-02-11,2024-02-13,Delivered
351,351,,,Cancelled
352,352,2025-12-08,2025-12-17,Delivered
353,353,2025-10-11,2025-10-17,Delivered
354,354,2024-02-08,2024-02-13,Delivered
355,355,2024-09-03,2024-09-05,Delivered
356,356,2025-07-09,2025-07-12,Delivered
357,357,2025-04-06,2025-04-10,Delivered
358,358,2024-12-14,2024-12-17,Delivered
359,359,2024-08-07,2024-08-14,Delivered
360,360,2025-11-26,2025-11-29,Delivered
361,361,2024-08-29,2024-09-01,Delivered
362,362,2025-05-18,2025-05-21,Delivered
363,363,2025-09-26,2025-10-02,Delivered
364,364,2024-05-15,2024-05-17,Delivered
365,365,2024-11-12,2024-11-17,Delivered
366,366,2025-08-31,2025-09-09,Delivered
367,367,2024-04-27,2024-04-30,Delivered
368,368,2024-08-14,2024-08-18,Delivered
369,369,2024-12-14,2024-12-20,Delivered
370,370,2024-05-04,2024-05-11,Delivered
371,371,2024-11-28,2024-12-03,Delivered
372,372,2024-06-27,2024-06-30,Delivered
373,373,2024-05-27,2024-05-30,Delivered
374,374,2025-07-22,2025-07-24,Delivered
375,375,2025-08-21,2025-08-25,Delivered
376,376,2025-10-12,2025-10-17,Delivered
377,377,2024-01-18,2024-01-20,Delivered
378,378,2024-07-04,2024-07-08,Delivered
379,379,2024-10-18,2024-10-21,Delivered
380,380,2025-05-05,2025-05-09,Delivered
381,381,2025-10-19,2025-10-22,Delivered
382,382,2024-09-03,2024-09-06,Delivered
383,383,2025-09-05,2025-09-08,Delivered
384,384,,,Cancelled
385,385,2024-12-24,2024-12-26,Delivered
386,386,2024-07-17,2024-07-20,Returned
387,387,,,Cancelled
388,388,2025-06-05,2025-06-09,Delivered
389,389,2025-11-07,2025-11-11,Delivered
390,390,2024-04-27,2024-05-02,Delivered
391,391,2025-05-02,2025-05-08,Delivered
392,392,2024-02-16,2024-02-22,Delivered
393,393,2024-08-03,2024-08-09,Delivered
394,394,2025-04-10,2025-04-15,Delivered
395,395,2025-07-07,2025-07-09,Delivered
396,396,2025-05-12,2025-05-18,Delivered
397,397,2024-08-29,2024-09-04,Delivered
398,398,2024-12-02,2024-12-05,Delivered
399,399,2024-12-01,2024-12-05,Delivered
400,400,2024-08-24,2024-08-30,Delivered
401,401,,,Cancelled
402,402,2025-04-30,2025-05-03,Delivered
403,403,2025-03-23,2025-03-28,Delivered
404,404,2025-04-13,2025-04-15,Delivered
405,405,2025-04-14,2025-04-20,Delivered
406,406,2024-10-04,2024-10-06,Delivered
407,407,2025-12-11,2025-12-13,Delivered
408,408,2024-04-24,2024-04-30,Delivered
409,409,,,Cancelled
410,410,2024-06-11,2024-06-14,Returned
411,411,2024-06-25,2024-06-30,Returned
412,412,2024-08-26,2024-09-04,Delivered
413,413,2025-05-18,2025-05-21,Delivered
414,414,2025-04-21,2025-04-23,Delivered
415,415,2024-09-11,2024-09-20,Delivered
416,416,2024-08-18,2024-08-21,Returned
417,417,2025-08-11,2025-08-16,Delivered
418,418,2024-02-13,2024-02-17,Delivered
419,419,2024-02-05,2024-02-09,Delivered
420,420,2025-12-16,2025-12-20,Delivered
421,421,2024-03-27,2024-03-31,Delivered
422,422,2025-02-22,2025-02-27,Delivered
423,423,2024-09-02,2024-09-06,Returned
424,424,2025-05-09,2025-05-14,Delivered
425,425,2025-04-17,2025-04-24,Delivered
426,426,2025-04-13,2025-04-19,Delivered
427,427,2025-12-23,2026-01-01,Delivered
428,428,2025-01-17,2025-01-19,Delivered
429,429,2024-01-05,2024-01-08,Delivered
430,430,2025-12-11,2025-12-14,Delivered
431,431,2025-03-14,2025-03-19,Delivered
432,432,2025-07-11,2025-07-16,Delivered
433,433,2025-12-04,2025-12-13,Delivered
434,434,2024-02-27,2024-03-03,Returned
435,435,2025-01-10,2025-01-15,Delivered
436,436,2025-04-23,2025-04-26,Delivered
437,437,2024-06-29,2024-07-08,Delivered
438,438,2025-07-31,2025-08-02,Delivered
439,439,2024-12-11,2024-12-14,Delivered
440,440,2025-05-05,2025-05-08,Returned
441,441,2025-12-23,2025-12-25,Delivered
442,442,2024-08-20,2024-08-26,Delivered
443,443,2025-05-31,2025-06-04,Delivered
444,444,2024-03-06,2024-03-12,Delivered
445,445,,,Cancelled
446,446,2025-12-29,2026-01-03,Delivered
447,447,2024-10-27,2024-10-30,Delivered
448,448,2025-11-22,2025-11-26,Delivered
449,449,,,Cancelled
450,450,2024-04-02,2024-04-06,Delivered
451,451,2024-10-25,2024-10-30,Delivered
452,452,2024-04-25,2024-05-01,Delivered
453,453,2024-07-31,2024-08-04,Returned
454,454,2024-10-29,2024-11-03,Returned
455,455,2024-05-16,2024-05-22,Delivered
456,456,2025-10-23,2025-10-28,Delivered
457,457,,,Cancelled
458,458,2025-10-24,2025-10-28,Delivered
459,459,2025-11-05,2025-11-10,Delivered
460,460,2025-08-31,2025-09-03,Delivered
461,461,2025-07-16,2025-07-18,Delivered
462,462,2024-05-16,2024-05-21,Delivered
463,463,2024-08-21,2024-08-26,Delivered
464,464,2024-02-19,2024-02-24,Delivered
465,465,2024-06-20,2024-06-22,Returned
466,466,2025-07-04,2025-07-10,Delivered
467,467,,,Cancelled
468,468,2024-06-07,2024-06-11,Delivered
469,469,2024-11-22,2024-11-27,Delivered
470,470,2025-01-14,2025-01-18,Delivered
471,471,2024-02-08,2024-02-12,Delivered
472,472,2024-06-03,2024-06-06,Delivered
473,473,2024-06-17,2024-06-21,Delivered
474,474,2024-01-29,2024-02-02,Returned
475,475,2024-05-29,2024-06-04,Returned
476,476,2024-01-06,2024-01-13,Delivered
477,477,2024-12-08,2024-12-12,Delivered
478,478,2024-10-26,2024-10-30,Delivered
479,479,,,Cancelled
480,480,2024-12-15,2024-12-22,Delivered
481,481,2024-02-12,2024-02-16,Delivered
482,482,2024-11-14,2024-11-18,Delivered
483,483,2024-08-15,2024-08-20,Delivered
484,484,2024-02-27,2024-03-04,Delivered
485,485,2025-06-25,2025-07-02,Delivered
486,486,2024-10-12,2024-10-16,Delivered
487,487,2025-04-03,2025-04-06,Delivered
488,488,2025-06-10,2025-06-14,Delivered
489,489,2025-09-11,2025-09-14,Delivered
490,490,2025-11-14,2025-11-20,Delivered
491,491,2025-03-15,2025-03-21,Delivered
492,492,2024-10-21,2024-10-30,Delivered
493,493,2025-07-29,2025-07-31,Delivered
494,494,2025-04-02,2025-04-04,Returned
495,495,2025-03-30,2025-04-08,Delivered
496,496,,,Cancelled
497,497,2025-08-26,2025-08-31,Delivered
498,498,2024-11-08,2024-11-17,Returned
499,499,2024-12-11,2024-12-16,Returned
500,500,2025-01-20,2025-01-26,Delivered
501,501,2024-10-07,2024-10-14,Delivered
502,502,2025-12-29,2025-12-31,Delivered
503,503,,,Cancelled
504,504,2025-07-22,2025-07-27,Delivered
505,505,2024-11-07,2024-11-11,Delivered
506,506,2025-04-22,2025-04-29,Delivered
507,507,2024-06-07,2024-06-13,Delivered
508,508,2025-10-14,2025-10-16,Delivered
509,509,2024-10-24,2024-10-30,Delivered
510,510,2025-12-08,2025-12-13,Delivered
511,511,2024-10-12,2024-10-16,Returned
512,512,2025-09-07,2025-09-12,Delivered
513,513,,,Cancelled
514,514,2025-12-06,2025-12-08,Returned
515,515,2024-05-04,2024-05-08,Delivered
516,516,2024-01-20,2024-01-25,Delivered
517,517,2024-05-30,2024-06-05,Delivered
518,518,2024-05-19,2024-05-25,Delivered
519,519,2025-01-06,2025-01-10,Delivered
520,520,2025-01-01,2025-01-05,Delivered
521,521,2025-10-19,2025-10-22,Delivered
522,522,2025-10-08,2025-10-12,Delivered
523,523,2024-06-22,2024-06-26,Delivered
524,524,2025-12-04,2025-12-06,Delivered
525,525,2025-12-07,2025-12-13,Delivered
526,526,2024-12-27,2025-01-05,Delivered
527,527,2024-10-16,2024-10-19,Delivered
528,528,2024-12-16,2024-12-18,Delivered
529,529,,,Cancelled
530,530,2025-07-29,2025-08-03,Delivered
531,531,2025-06-23,2025-06-28,Delivered
532,532,2024-04-29,2024-05-03,Delivered
533,533,2024-05-02,2024-05-05,Returned
534,534,2024-12-24,2024-12-29,Delivered
535,535,2025-03-30,2025-04-04,Delivered
536,536,2024-12-17,2024-12-23,Delivered
537,537,2024-05-03,2024-05-06,Delivered
538,538,2024-05-28,2024-06-04,Delivered
539,539,2024-08-03,2024-08-07,Returned
540,540,2025-12-10,2025-12-12,Delivered
541,541,2025-05-11,2025-05-16,Delivered
542,542,2024-02-04,2024-02-07,Delivered
543,543,,,Cancelled
544,544,2024-03-11,2024-03-17,Delivered
545,545,2024-04-11,2024-04-16,Returned
546,546,2025-08-27,2025-08-29,Delivered
547,547,2024-02-02,2024-02-06,Delivered
548,548,2024-10-14,2024-10-18,Delivered
549,549,2025-05-30,2025-06-04,Delivered
550,550,2025-08-09,2025-08-14,Delivered
551,551,2024-01-16,2024-01-22,Delivered
552,552,,,Cancelled
553,553,2024-01-07,2024-01-10,Delivered
554,554,2025-06-01,2025-06-04,Delivered
555,555,2025-08-29,2025-09-05,Delivered
556,556,,,Cancelled
557,557,2025-03-12,2025-03-16,Delivered
558,558,2024-04-26,2024-04-29,Delivered
559,559,2025-06-17,2025-06-22,Delivered
560,560,2025-12-23,2025-12-25,Delivered
561,561,2024-03-26,2024-03-29,Delivered
562,562,2024-10-20,2024-10-24,Delivered
563,563,2025-12-05,2025-12-07,Delivered
564,564,2024-10-25,2024-10-28,Delivered
565,565,2025-05-03,2025-05-06,Delivered
566,566,2025-11-23,2025-11-27,Delivered
567,567,2025-03-26,2025-04-01,Delivered
568,568,2024-05-05,2024-05-10,Delivered
569,569,2025-08-28,2025-08-31,Delivered
570,570,2024-06-23,2024-06-25,Delivered
571,571,2024-12-14,2024-12-18,Delivered
572,572,,,Cancelled
573,573,2025-05-29,2025-05-31,Delivered
574,574,2025-08-20,2025-08-24,Delivered
575,575,2025-10-23,2025-10-25,Delivered
576,576,2025-09-12,2025-09-18,Returned
577,577,2024-10-15,2024-10-17,Delivered
578,578,2024-05-07,2024-05-12,Delivered
579,579,2025-10-06,2025-10-11,Delivered
580,580,2024-02-26,2024-03-02,Delivered
581,581,2024-07-05,2024-07-07,Delivered
582,582,2024-06-07,2024-06-10,Delivered
583,583,2024-03-22,2024-03-28,Delivered
584,584,2025-05-22,2025-05-28,Delivered
585,585,2025-05-25,2025-05-29,Delivered
586,586,2024-12-18,2024-12-24,Delivered
587,587,,,Cancelled
588,588,2025-01-29,2025-02-05,Delivered
589,589,2025-04-01,2025-04-07,Delivered
590,590,,,Cancelled
591,591,2025-12-25,2025-12-29,Delivered
592,592,2024-11-17,2024-11-22,Delivered
593,593,2024-04-24,2024-04-26,Delivered
594,594,2025-07-24,2025-07-27,Delivered
595,595,,,Cancelled
596,596,2024-02-29,2024-03-05,Delivered
597,597,2025-01-23,2025-01-30,Delivered
598,598,2024-10-20,2024-10-27,Delivered
599,599,,,Cancelled
600,600,2025-08-22,2025-08-26,Delivered
601,601,2024-12-18,2024-12-22,Delivered
602,602,2025-01-03,2025-01-08,Delivered
603,603,2024-09-09,2024-09-16,Delivered
604,604,,,Cancelled
605,605,2024-11-09,2024-11-14,Delivered
606,606,2025-07-08,2025-07-10,Delivered
607,607,2025-03-10,2025-03-15,Delivered
608,608,2024-10-03,2024-10-08,Delivered
609,609,2024-01-26,2024-01-30,Delivered
610,610,2024-11-27,2024-12-02,Delivered
611,611,2024-04-14,2024-04-16,Delivered
612,612,2025-05-24,2025-05-27,Delivered
613,613,2024-12-14,2024-12-20,Delivered
614,614,2025-03-24,2025-03-26,Delivered
615,615,2024-03-19,2024-03-25,Delivered
616,616,2024-02-20,2024-02-24,Returned
617,617,2024-08-21,2024-08-23,Delivered
618,618,2025-08-17,2025-08-20,Delivered
619,619,2024-03-11,2024-03-17,Delivered
620,620,2025-03-16,2025-03-18,Delivered
621,621,2025-11-01,2025-11-10,Delivered
622,622,2025-03-22,2025-03-29,Delivered
623,623,2025-03-03,2025-03-07,Delivered
624,624,2025-04-11,2025-04-15,Delivered
625,625,2024-01-23,2024-01-28,Delivered
626,626,2024-07-11,2024-07-14,Delivered
627,627,2025-04-26,2025-04-29,Returned
628,628,2025-09-24,2025-09-27,Returned
629,629,2025-10-05,2025-10-07,Delivered
630,630,2025-04-20,2025-04-26,Delivered
631,631,,,Cancelled
632,632,2024-11-23,2024-11-26,Delivered
633,633,,,Cancelled
634,634,2024-06-14,2024-06-16,Delivered
