Payment_ID,Order_ID,Payment_Method,Amount,Payment_Status
378,378,Debit Card,24685.31,Successful
379,379,Credit Card,94157.96,Successful
380,380,Debit Card,46017.33,Successful
381,381,Wallet,71134.52,Successful
382,382,Net Banking,73910.33,Successful
383,383,Wallet,129558.68,Successful
384,384,Credit Card,97143.46,Failed
385,385,Debit Card,24371.44,Successful
386,386,Credit Card,17290.21,Successful
387,387,Debit Card,87270.89,Failed
388,388,Net Banking,52611.7,Successful
389,389,Debit Card,65530.51,Successful
390,390,Wallet,27805.64,Successful
391,391,Wallet,30424.49,Successful
392,392,Credit Card,55750.63,Successful
393,393,COD,121155.72,Successful
394,394,Net Banking,78615.85,Successful
395,395,Credit Card,18564.8,Successful
396,396,Debit Card,127472.96,Successful
397,397,UPI,84214.68,Successful
398,398,COD,106309.73,Successful
399,399,Wallet,60319.15,Successful
400,400,COD,88309.64,Failed
401,401,UPI,27416.0,Failed
402,402,Wallet,28560.64,Successful
403,403,Debit Card,16714.82,Successful
404,404,Debit Card,73975.85,Failed
405,405,Wallet,7872.38,Successful
406,406,Credit Card,65538.19,Successful
407,407,Wallet,109915.98,Successful
408,408,Net Banking,42006.76,Failed
409,409,Credit Card,54259.63,Failed
410,410,COD,9250.53,Successful
411,411,Net Banking,58633.12,Successful
412,412,Wallet,97240.63,Successful
413,413,Wallet,137046.87,Successful
414,414,UPI,43830.89,Failed
415,415,Credit Card,88046.44,Successful
416,416,COD,9555.59,Successful
417,417,Wallet,85522.14,Successful
418,418,Debit Card,5822.09,Successful
419,419,Credit Card,27361.97,Successful
420,420,Debit Card,63637.1,Successful
421,421,Net Banking,79404.15,Successful
422,422,COD,16645.0,Successful
423,423,Wallet,50691.28,Successful
424,424,Debit Card,75880.98,Successful
425,425,COD,34031.89,Successful
426,426,Credit Card,141912.84,Successful
427,427,UPI,50434.82,Successful
428,428,Wallet,117117.89,Successful
429,429,Debit Card,65114.62,Successful
430,430,Debit Card,82031.69,Successful
431,431,UPI,1528.78,Successful
432,432,UPI,27805.64,Successful
433,433,Wallet,175464.05,Successful
434,434,UPI,52432.54,Successful
435,435,Wallet,35795.87,Successful
436,436,COD,51398.21,Successful
437,437,Wallet,216581.13,Successful
438,438,Debit Card,59229.16,Successful
439,439,UPI,21799.76,Successful
440,440,Debit Card,18687.22,Successful
441,441,Net Banking,180914.04,Successful
442,442,COD,95048.96,Successful
443,443,Debit Card,79026.54,Successful
444,444,Credit Card,16840.6,Successful
445,445,COD,9748.58,Failed
446,446,Debit Card,69512.59,Successful
447,447,UPI,79928.18,Successful
448,448,Credit Card,162581.51,Successful
449,449,Wallet,23215.16,Failed
450,450,UPI,5624.5,Successful
451,451,UPI,169610.5,Successful
452,452,COD,9383.76,Successful
453,453,UPI,59192.37,Successful
454,454,Debit Card,56430.88,Successful
455,455,COD,59378.35,Successful
456,456,UPI,86630.02,Successful
457,457,Credit Card,44420.93,Failed
458,458,Wallet,94015.47,Successful
459,459,Wallet,69434.64,Successful
460,460,Credit Card,191752.91,Successful
461,461,Credit Card,30765.85,Successful
462,462,Credit Card,38631.65,Successful
463,463,Debit Card,40607.57,Successful
464,464,Wallet,169769.9,Successful
465,465,Debit Card,24197.72,Successful
466,466,Wallet,9184.86,Successful
467,467,Net Banking,15085.44,Failed
468,468,COD,176728.24,Successful
469,469,Net Banking,24546.97,Successful
470,470,Debit Card,39031.92,Successful
471,471,Net Banking,91468.7,Successful
472,472,Credit Card,6153.26,Successful
473,473,Credit Card,21355.28,Successful
474,474,COD,73155.42,Successful
475,475,Debit Card,37374.45,Successful
476,476,UPI,162153.18,Successful
477,477,Debit Card,32471.05,Successful
478,478,COD,128550.1,Successful
479,479,COD,1910.97,Failed
480,480,Net Banking,7289.85,Successful
481,481,COD,35554.46,Successful
482,482,COD,98605.09,Successful
483,483,UPI,32954.35,Successful
484,484,COD,67243.2,Successful
485,485,Credit Card,68329.34,Successful
486,486,COD,3081.15,Successful
487,487,Net Banking,64920.95,Successful
488,488,UPI,61800.54,Successful
489,489,UPI,142210.02,Successful
490,490,COD,21523.33,Successful
491,491,Debit Card,17908.54,Successful
492,492,COD,144512.22,Successful
493,493,Wallet,31201.48,Successful
494,494,Net Banking,71851.45,Successful
495,495,Wallet,61553.91,Successful
496,496,Wallet,150077.31,Failed
497,497,Net Banking,141531.64,Successful
498,498,Debit Card,29781.1,Successful
499,499,Credit Card,131867.4,Successful
500,500,Wallet,51826.71,Successful
501,501,Wallet,25334.25,Successful
502,502,Credit Card,16059.29,Successful
503,503,Credit Card,31378.43,Failed
504,504,COD,32650.72,Successful
505,505,COD,66573.24,Successful
506,506,COD,132019.88,Successful
507,507,Debit Card,137506.4,Successful
508,508,COD,106173.48,Successful
509,509,UPI,34996.75,Successful
510,510,UPI,59889.48,Successful
511,511,Wallet,40909.17,Successful
512,512,UPI,72130.5,Successful
513,513,Debit Card,87745.61,Failed
514,514,COD,30564.59,Successful
515,515,Net Banking,171021.11,Successful
516,516,Credit Card,155650.52,Failed
517,517,Wallet,76427.52,Successful
518,518,Debit Card,19725.1,Successful
519,519,Debit Card,61570.69,Successful
520,520,Net Banking,95743.05,Successful
521,521,Credit Card,39382.17,Successful
522,522,Debit Card,116922.12,Successful
523,523,Debit Card,143065.36,Successful
524,524,Debit Card,114910.97,Successful
525,525,Net Banking,156674.23,Successful
526,526,UPI,91185.32,Successful
527,527,UPI,10537.6,Successful
528,528,Wallet,16888.37,Successful
529,529,COD,63343.58,Failed
530,530,UPI,98301.2,Successful
531,531,Credit Card,15806.4,Successful
532,532,Credit Card,38990.21,Successful
533,533,Net Banking,19996.85,Successful
534,534,COD,857.01,Successful
535,535,Wallet,83470.17,Successful
536,536,Net Banking,44200.42,Successful
537,537,Wallet,134617.47,Successful
538,538,Credit Card,216588.41,Successful
539,539,UPI,23415.27,Successful
540,540,Net Banking,20099.08,Failed
541,541,Net Banking,126507.7,Successful
542,542,UPI,87442.87,Successful
543,543,UPI,113999.93,Failed
544,544,COD,72838.21,Successful
545,545,Credit Card,44049.14,Successful
546,546,Net Banking,212360.51,Successful
547,547,Wallet,52124.73,Successful
548,548,COD,103588.16,Successful
549,549,Wallet,153973.17,Successful
550,550,Credit Card,103187.46,Successful
551,551,UPI,37224.93,Successful
552,552,UPI,15110.65,Failed
553,553,UPI,69389.88,Successful
554,554,COD,36383.69,Successful
555,555,UPI,37497.56,Successful
556,556,Debit Card,14581.98,Failed
557,557,COD,102647.82,Successful
558,558,UPI,65418.86,Successful
559,559,Net Banking,10298.91,Successful
560,560,Wallet,1719.87,Successful
561,561,Net Banking,9414.42,Successful
562,562,Debit Card,112720.95,Successful
563,563,UPI,3881.39,Successful
564,564,UPI,39450.2,Successful
565,565,Credit Card,87286.33,Successful
566,566,Wallet,88215.75,Successful
567,567,Net Banking,120858.41,Successful
568,568,Credit Card,89629.07,Successful
569,569,Debit Card,40955.98,Successful
570,570,Wallet,83096.84,Successful
571,571,Debit Card,144975.07,Successful
572,572,Net Banking,14971.42,Failed
573,573,Net Banking,1540.58,Successful
574,574,Net Banking,71467.75,Successful
575,575,Net Banking,86567.39,Successful
576,576,Credit Card,21363.74,Successful
577,577,Net Banking,48131.29,Successful
578,578,COD,77475.05,Successful
579,579,Debit Card,57514.9,Successful
580,580,UPI,35252.9,Successful
581,581,Net Banking,4661.0,Successful
582,582,COD,24823.46,Successful
583,583,Wallet,11671.61,Successful
584,584,COD,154212.76,Successful
585,585,COD,63799.53,Successful
586,586,Wallet,36277.51,Successful
587,587,UPI,81095.92,Failed
588,588,Net Banking,103776.43,Successful
589,589,Debit Card,120759.88,Successful
590,590,Net Banking,70556.29,Failed
591,591,Wallet,94398.2,Successful
592,592,Net Banking,67484.6,Successful
593,593,COD,19175.15,Successful
594,594,Net Banking,62986.38,Successful
595,595,Debit Card,29336.62,Failed
596,596,UPI,94670.35,Successful
597,597,Wallet,68481.65,Successful
598,598,Wallet,39744.99,Successful
599,599,Net Banking,68582.1,Failed
600,600,Debit Card,77323.62,Successful
601,601,Wallet,22698.97,Successful
602,602,Net Banking,82859.46,Successful
603,603,UPI,79511.12,Successful
604,604,UPI,58834.88,Failed
605,605,COD,128456.05,Successful
606,606,COD,141131.21,Successful
607,607,Credit Card,102355.8,Successful
608,608,Net Banking,68402.48,Successful
609,609,COD,161823.07,Successful
610,610,Net Banking,25139.46,Successful
611,611,Credit Card,71321.34,Successful
612,612,COD,169227.25,Successful
613,613,Debit Card,4803.48,Successful
614,614,Credit Card,16951.48,Successful
615,615,Credit Card,60771.74,Successful
616,616,COD,171402.22,Successful
617,617,Credit Card,36173.09,Successful
618,618,Net Banking,102957.77,Successful
619,619,UPI,15448.37,Successful
620,620,Net Banking,137949.66,Successful
621,621,Net Banking,30079.68,Successful
622,622,Debit Card,234846.81,Successful
623,623,Credit Card,234964.61,Successful
624,624,COD,62018.23,Successful
625,625,Debit Card,116739.82,Successful
626,626,UPI,132026.18,Successful
627,627,Credit Card,78481.63,Successful
628,628,Debit Card,78132.88,Successful
629,629,Net Banking,54970.53,Successful
630,630,Credit Card,45760.82,Successful
631,631,Wallet,11586.28,Failed
632,632,Credit Card,48404.71,Successful
633,633,Debit Card,76411.48,Failed
634,634,UPI,35662.45,Successful
635,635,Credit Card,47313.32,Successful
636,636,Credit Card,64761.41,Failed
637,637,UPI,43919.54,Successful
638,638,COD,27672.7,Failed
639,639,UPI,17711.38,Successful
640,640,Wallet,89056.18,Successful
641,641,COD,8568.65,Successful
642,642,Wallet,34272.15,Successful
643,643,Wallet,5796.38,Failed
644,644,Wallet,70718.16,Successful
645,645,Net Banking,30758.52,Successful
646,646,UPI,52994.13,Successful
647,647,Debit Card,71481.09,Successful
648,648,Debit Card,41200.36,Successful
649,649,Debit Card,110533.19,Failed
650,650,Credit Card,74634.88,Successful
651,651,Debit Card,26160.54,Successful
652,652,Net Banking,20715.72,Successful
653,653,Credit Card,24550.95,Successful
654,654,Credit Card,121992.37,Successful
655,655,Wallet,12389.38,Successful
656,656,UPI,11831.72,Successful
657,657,COD,31215.73,Successful
658,658,UPI,20855.6,Failed
659,659,Wallet,121238.6,Failed
660,660,Net Banking,59889.48,Successful
661,661,Credit Card,19270.14,Successful
662,662,Credit Card,31550.08,Successful
663,663,Credit Card,125499.74,Successful
664,664,Net Banking,32752.74,Successful
665,665,Wallet,116348.05,Successful
666,666,UPI,142573.44,Successful
667,667,UPI,166572.19,Successful
668,668,COD,133919.35,Successful
669,669,Wallet,177070.01,Successful
670,670,Net Banking,25039.04,Successful
671,671,Debit Card,17735.39,Failed
672,672,Net Banking,41748.5,Successful
673,673,Debit Card,125588.47,Successful
674,674,Debit Card,51598.76,Successful
675,675,COD,62385.76,Successful
676,676,Wallet,50249.5,Successful
677,677,Credit Card,63324.66,Successful
678,678,Debit Card,97808.81,Failed
679,679,Net Banking,5571.61,Successful
680,680,Net Banking,127847.75,Successful
681,681,COD,123218.97,Successful
682,682,Net Banking,121748.04,Successful
683,683,Credit Card,73866.26,Successful
684,684,COD,92114.68,Successful
685,685,Net Banking,52333.0,Successful
686,686,Net Banking,74811.78,Successful
687,687,Wallet,79627.0,Successful
688,688,Wallet,44157.02,Successful
689,689,Wallet,6114.98,Successful
690,690,UPI,149049.29,Successful
691,691,Wallet,117562.7,Successful
692,692,COD,25966.86,Successful
693,693,Debit Card,29238.73,Failed
694,694,UPI,164038.61,Successful
695,695,Wallet,129510.54,Successful
696,696,Debit Card,72102.3,Successful
697,697,Wallet,8867.7,Failed
698,698,UPI,60882.78,Failed
699,699,Net Banking,123481.52,Successful
700,700,Wallet,117765.15,Successful
701,701,Credit Card,64355.37,Successful
702,702,Wallet,98177.33,Successful
703,703,Net Banking,86094.76,Successful
704,704,Wallet,120005.78,Successful
705,705,UPI,29363.52,Successful
706,706,Debit Card,10849.27,Successful
707,707,Wallet,53597.52,Successful
708,708,Wallet,62710.1,Successful
709,709,Wallet,55312.42,Successful
710,710,Credit Card,11084.62,Successful
711,711,COD,88538.26,Successful
712,712,UPI,37573.65,Successful
713,713,Wallet,76673.13,Successful
714,714,Wallet,97644.83,Successful
715,715,UPI,186883.91,Failed
716,716,COD,30424.49,Successful
717,717,Wallet,21114.53,Failed
718,718,UPI,40130.66,Successful
719,719,Wallet,165699.47,Successful
720,720,Net Banking,105935.54,Successful
721,721,Credit Card,139281.21,Successful
722,722,COD,59748.15,Successful
723,723,COD,105356.59,Failed
724,724,UPI,49626.78,Successful
725,725,Credit Card,114510.81,Successful
726,726,Debit Card,46391.76,Failed
727,727,Debit Card,20119.95,Successful
728,728,Credit Card,62871.19,Successful
729,729,Debit Card,22195.79,Successful
730,730,UPI,205254.73,Successful
731,731,COD,87303.53,Successful
732,732,COD,35391.16,Successful
733,733,Credit Card,61570.69,Successful
734,734,Credit Card,75277.76,Successful
735,735,Wallet,85647.15,Successful
736,736,Wallet,11157.46,Successful
737,737,Net Banking,34481.75,Successful
738,738,COD,83609.37,Successful
739,739,Debit Card,301545.05,Successful
740,740,COD,44420.93,Successful
741,741,Net Banking,109456.33,Successful
742,742,COD,134206.12,Successful
743,743,Credit Card,11493.92,Successful
744,744,Credit Card,66326.46,Successful
745,745,COD,30008.48,Successful
746,746,Net Banking,224086.1,Failed
747,747,Wallet,31781.54,Successful
748,748,Credit Card,28014.81,Successful
749,749,Debit Card,16474.97,Successful
750,750,Wallet,31610.51,Successful
751,751,Wallet,1714.02,Successful
752,752,COD,55744.78,Successful
753,753,Debit Card,12246.48,Successful
754,754,Credit Card,170314.32,Successful
755,755,Net Banking,23598.59,Successful
756,756,Net Banking,50032.48,Failed
757,757,Credit Card,18587.11,Successful
758,758,Credit Card,119031.98,Successful
759,759,UPI,70286.67,Successful
760,760,COD,84799.36,Successful
761,761,Net Banking,105758.71,Successful
762,762,Credit Card,69184.29,Failed
763,763,Debit Card,71086.23,Successful
764,764,COD,120327.21,Successful
765,765,Wallet,76598.03,Successful
766,766,Net Banking,33623.22,Successful
767,767,Wallet,90402.02,Successful
768,768,Credit Card,135991.72,Failed
769,769,Credit Card,30606.19,Successful
770,770,COD,53381.87,Successful
771,771,Debit Card,30395.11,Successful
772,772,UPI,73770.36,Successful
773,773,Credit Card,93381.53,Successful
774,774,Debit Card,59758.39,Successful
